plan_id,scheme_name,uin,min_age,max_age,gender_eligibility,marital_status_required,pregnancy_required,pregnancy_covered,no_of_family_max,dependents_allowed,occupation_type,income_limit,ration_card_required,state_coverage,district_restriction,health_conditions_covered,disability_required,literacy_level_required,digital_literacy_required,language_support,base_sum_insured_range,premium_start,claim_process_notes,mental_health_support,home_treatment,HLTH_meter_available,HealthReturns_available,SuperCredit_available,ClaimProtect_available,cashless_network_size,tags
activ_one_nxt,Activ One NXT,ADIHLIP24097V012324,18,,All,Optional,Optional,Optional,6,Yes,All,,No,All India,,"diabetes,hypertension,obesity,mental health",No,Basic,Moderate,Multilingual,"₹5L–₹2Cr","₹5,630/year","Cashless at 10,250+ hospitals, Care Manager support, Claim Protect optional",Yes,Yes,Optional,Yes,Yes,Optional,10250,"chronic_care,mental_health,wellness,obesity_cover,claim_process,HLTH_meter"
activ_one_vytl,Activ One VYTL,ADIHLIP24097V012324,18,,All,Optional,Optional,Optional,6,Yes,All,,No,All India,,"diabetes,hypertension,asthma,mental health",No,Basic,Moderate,Multilingual,"₹5L–₹2Cr","₹7,111/year","Includes HLTH Meter, Super Reload, Claim Protect, and Day 1 Chronic Care",Yes,Yes,Optional,Yes,Yes,Yes,10250,"chronic_care,mental_health,wellness,obesity_cover,claim_process,HLTH_meter"
activ_one_savr,Activ One SAVR,ADIHLIP24097V012324,18,,All,Optional,Optional,Optional,6,Yes,All,,No,All India,,"diabetes,hypertension,asthma,obesity,mental health",No,Basic,Moderate,Multilingual,"₹5L–₹2Cr","₹7,855/year","Includes HLTH Meter, Super Reload, Claim Protect, No Capping on Hospitalization, Day 1 Chronic Care",Yes,Yes,Optional,Yes,Yes,Yes,10250,"chronic_care,mental_health,wellness,obesity_cover,claim_process,HLTH_meter,HealthReturns,SuperCredit"
activ_one_vip,Activ One VIP,ADIHLIP24097V012324,18,,All,Optional,Optional,Optional,6,Yes,All,,No,All India,,"diabetes,hypertension,asthma,obesity,mental health",No,Basic,Moderate,Multilingual,"₹50L–₹6Cr","₹17,011/year","Includes Global Emergency Cover, Specified Illness Cover, Super Reload, Claim Protect, HLTH Meter, and 100% HealthReturns",Yes,Yes,Optional,Yes,Yes,Yes,10250,"global_cover,specified_illness,maternity_cover,mental_health,wellness,obesity_cover,claim_process,HLTH_meter,HealthReturns,SuperCredit"
activ_one_vip_plus,Activ One VIP+,ADIHLIP24097V012324,18,,All,Optional,Optional,Optional,6,Yes,All,,No,All India,,"diabetes,hypertension,asthma,obesity,mental health",No,Basic,Moderate,Multilingual,"₹50L–₹6Cr","₹49,702/year","Includes Global Enhanced Cover, Specified Illness Cover, Super Reload, Claim Protect, HLTH Meter, and 100% HealthReturns",Yes,Yes,Optional,Yes,Yes,Yes,10250,"global_cover,specified_illness,maternity_cover,mental_health,wellness,obesity_cover,claim_process,HLTH_meter,HealthReturns,SuperCredit"
activ_assure_topup,Activ Assure Diamond + Super Health Topup,ADIHLIP21061V022021,5,65,All,Optional,Optional,Optional,6,Yes,All,,No,All India,,"diabetes,hypertension,asthma,obesity,mental health",No,Basic,Moderate,Multilingual,"₹3L–₹1Cr","₹962/year","Covers AYUSH, Day Care, Domiciliary, Air Ambulance, OPD Discounts, and Home Treatment",Yes,Yes,Optional,Yes,Yes,Optional,10700,"topup_plan,day_care,AYUSH_cover,mental_health,obesity_cover,claim_process,air_ambulance,home_treatment"
activ_health_platinum_enhanced,Activ Health Platinum Enhanced,ADIHLIP24102V052324,5,,All,Optional,Optional,Optional,6,Yes,All,,No,All India,,"diabetes,hypertension,asthma,obesity,mental health",No,Basic,Moderate,Multilingual,"₹2L–₹2Cr","₹8,215/year","Includes Health Coach, Dental Cover, Mental Illness Hospitalization, Sum Insured Reload, Chronic Care, and 100% HealthReturns",Yes,Yes,Optional,Yes,Yes,Yes,6000,"chronic_care,mental_health,wellness,obesity_cover,claim_process,HLTH_meter,HealthReturns,SumReload,dental_cover"
activ_fit,Activ Fit,ADIHLIP22008V012223,18,45,All,Optional,Optional,Optional,6,Yes,All,,No,All India,,"diabetes,hypertension,obesity,mental health",No,Basic,Moderate,Multilingual,"₹5L–₹1Cr","₹6,863/year","Includes 10% Good Health Discount, 10% Early Bird Discount, 50% HealthReturns™, Unlimited Sum Insured Refill, Maternity Benefit, Travel Protect",Yes,Yes,Optional,Yes,Yes,Optional,6000,"young_adults,fitness_rewards,mental_health,maternity_cover,claim_process,HealthReturns,BingeRefill,TravelProtect"
activ_care_classic,Activ Care Classic,ADIHLIP24175V052324,55,80,All,Optional,Optional,Optional,2,Yes,All,,No,All India,,"diabetes,hypertension,obesity,mental health",No,Basic,Low,Multilingual,"₹5L–₹1Cr","₹28,373/year","Includes Health Coach, HLTH Meter (optional), Cashless Home Treatment, AYUSH, and 21% HealthReturns",Yes,Yes,Optional,Yes,No,Optional,6000,"senior_citizen,mental_health,home_treatment,AYUSH_cover,claim_process,HealthReturns,HLTH_meter"
activ_health_platinum_essential,Activ Health Platinum Essential,ADIHLIP24102V052324,5,,All,Optional,Optional,Optional,6,Yes,All,,No,All India,,"diabetes,hypertension,asthma,obesity,mental health",No,Basic,Moderate,Multilingual,"₹2L–₹50L","₹5,579/year","Includes Day 1 Chronic Care, HLTH Meter, Health Coach, AYUSH, Mental Illness Hospitalization, and 50% HealthReturns",Yes,Yes,Optional,Yes,Yes,Optional,6000,"chronic_care,mental_health,wellness,obesity_cover,claim_process,HLTH_meter,HealthReturns,AYUSH_cover"
activ_health_platinum_premiere,Activ Health Platinum Premiere,ADIHLIP24102V052324,5,65,All,Optional,Optional,Optional,6,Yes,All,,No,All India,,"diabetes,hypertension,asthma,obesity,mental health",No,Basic,Moderate,Multilingual,"₹10L–₹2Cr","₹31,145/year","Includes Health Coach, Dental Cover, Mental Illness Hospitalization, Post-Hospitalization Physiotherapy, Chronic Care, Premium Waiver, and 100% HealthReturns",Yes,Yes,Optional,Yes,Yes,Yes,6000,"chronic_care,mental_health,dental_cover,physiotherapy,claim_process,HealthReturns,HLTH_meter,PremiumWaiver"
activ_care_standard,Activ Care Standard,ADIHLIP21062V022021,55,80,All,Optional,Optional,Optional,2,Yes,All,,No,All India,,"diabetes,hypertension,obesity,mental health",No,Basic,Low,Multilingual,"₹3L–₹10L","₹24,202/year","Includes Cashless Home Treatment, Nursing at Home, Health Coach, AYUSH, Day Care, and 21% HealthReturns",Yes,Yes,Optional,Yes,Yes,Optional,6000,"senior_citizen,mental_health,home_treatment,nursing_care,AYUSH_cover,claim_process,HealthReturns"
activ_care_premier,Activ Care Premier,ADIHLIP21062V022021,55,80,All,Optional,Optional,Optional,2,Yes,All,,No,All India,,"diabetes,hypertension,obesity,mental health",No,Basic,Low,Multilingual,"₹5L–₹25L","₹38,632/year","Includes Nursing at Home, Cashless Home Treatment, AYUSH, Health Coach, 21% HealthReturns, and Lifestyle Support Equipment",Yes,Yes,Optional,Yes,Yes,Optional,6000,"senior_citizen,mental_health,home_treatment,nursing_care,AYUSH_cover,claim_process,HealthReturns,lifestyle_support"
arogya_sanjeevani,Arogya Sanjeevani Policy,ADIHLIP20170V011920,18,65,All,Optional,Optional,No,6,Yes,All,,No,All India,,"diabetes,hypertension,cataract",No,Basic,Low,Multilingual,"₹1L–₹5L","₹5,117/year","Covers hospitalization, AYUSH, cataract, ICU, pre/post hospitalization, and day care treatments",No,No,No,No,No,No,6000,"basic_cover,AYUSH_cover,cataract_treatment,day_care,claim_process"
corona_kavach,Corona Kavach Policy,ADIHLIP21080V012021,0,,All,Optional,Optional,No,6,Yes,All,,No,All India,,"COVID-19",No,Basic,Low,Multilingual,"₹50K–₹5L","₹2,486/year","Covers COVID hospitalization, PPE kits, AYUSH, home care, pre/post hospitalization, no pre-policy checkup",No,Yes,No,No,No,No,6000,"covid_cover,home_treatment,AYUSH_cover,day_care,claim_process,low_income_friendly"
ekam_suraksha,Ekam Suraksha,ADIHLIP23203V012223,18,,All,Optional,Optional,No,6,Yes,All,,No,All India,,"HIV/AIDS,disability",Yes,Basic,Low,Multilingual,"₹1L–₹10L","₹3,500/year","Covers hospitalization, AYUSH, modern treatments (50% of SI), cataract (₹40,000/eye), dental/plastic surgery due to illness/injury, and all day care procedures",No,No,No,No,No,No,5900,"disability_cover,HIV_cover,AYUSH_cover,modern_treatment,cataract_treatment,day_care,claim_process"
activ_assure_diamond,Activ Assure Diamond,ADIHLIP24175V052324,5,,All,Optional,Optional,Optional,6,Yes,All,,No,All India,,"diabetes,hypertension,obesity,mental health",No,Basic,Moderate,Multilingual,"₹2L–₹2Cr","₹8,127/year","Includes 150% Sum Insured Reload, HLTH Meter (optional), 586 Day Care Treatments, AYUSH, Health Coach, and up to 30% HealthReturns",Yes,Yes,Optional,Yes,Yes,Optional,10051,"chronic_care,mental_health,wellness,obesity_cover,claim_process,HLTH_meter,HealthReturns,AYUSH_cover,day_care"
activ_assure_diamond_topup,Activ Assure Diamond + Super Health Topup,ADIHLIP21061V022021,5,65,All,Optional,Optional,Optional,6,Yes,All,,No,All India,,"diabetes,hypertension,COVID-19",No,Basic,Moderate,Multilingual,"₹5L–₹1Cr","₹11,746/year","Includes 586 Day Care Procedures, Air Ambulance, Health & Wellness Discounts, Domiciliary Hospitalization, and Home Treatment up to ₹50,000",Yes,Yes,Optional,Yes,Yes,Optional,6000,"topup_plan,day_care,COVID_cover,air_ambulance,home_treatment,wellness_discount,claim_process"